message;severity;node;stamp;location
"Begin navigating from current location (-2.37, -0.85) to (-4.84, -2.28)";"20";"robot_0.bt_navigator";"1771375389.691330566";"./src/navigators/navigate_to_pose.cpp:initializeGoalPose:213"
"Goal failed";"40";"robot_0.bt_navigator";"1771375376.582469541";"/opt/ros/humble/include/nav2_behavior_tree/bt_action_server_impl.hpp:executeCallback:269"
"[navigate_to_pose] [ActionServer] Aborting handle.";"30";"robot_0.bt_navigator";"1771375376.507029079";"/opt/ros/humble/include/nav2_util/simple_action_server.hpp:warn_msg:605"
"Timed out while waiting for action server to acknowledge goal request for follow_path";"30";"robot_0.bt_navigator_navigate_to_pose_rclcpp_node";"1771375376.496728370";"./include/nav2_behavior_tree/bt_action_node.hpp:tick:223"
"[follow_path] [ActionServer] Aborting handle.";"30";"robot_0.controller_server";"1771375373.046123957";"/opt/ros/humble/include/nav2_util/simple_action_server.hpp:warn_msg:605"
"Controller patience exceeded";"40";"robot_0.controller_server";"1771375373.045893322";"./src/controller_server.cpp:computeControl:422"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375373.045609299";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375372.922734875";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375372.922139662";"./src/controller_server.cpp:computeControl:416"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375372.921808156";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375372.828586489";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375372.706322219";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375372.705875822";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375372.510889088";"./src/controller_server.cpp:computeControl:416"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375372.098631314";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Received a goal, begin computing control effort.";"20";"robot_0.controller_server";"1771375372.098213725";"./src/controller_server.cpp:computeControl:361"
"Begin navigating from current location (-2.37, -0.85) to (-4.84, -1.28)";"20";"robot_0.bt_navigator";"1771375370.467979620";"./src/navigators/navigate_to_pose.cpp:initializeGoalPose:213"
"Goal failed";"40";"robot_0.bt_navigator";"1771375363.816410214";"/opt/ros/humble/include/nav2_behavior_tree/bt_action_server_impl.hpp:executeCallback:269"
