x,y,z
-2.4204411544828357,-0.42431951640816656,-0.6444215976024403
-2.4570446196688396,-0.4286388670473289,-0.6607472358495454
-2.509743841130901,-0.4203382754827294,-0.6404954263367102
-2.5201026507077646,-0.43985332727567195,-0.7162373800398929
-2.5586604637655697,-0.43915819959814884,-0.7279765779821774
-2.521973562176847,-0.4394322787648528,-0.8101591681570868
-2.5808359199168995,-0.4390179739697515,-0.67216912844496
-2.5299582033943446,-0.41978018738855827,-0.6933259193664494
-2.5990046211151805,-0.41385740870913557,-0.6365588846456506
-2.3822456901299516,-0.4030722098965529,-0.49602734555803685
-2.375070313499571,-0.4030240475952447,-0.5366291655404414
-2.3127875171746197,-0.4038200931301388,-0.596432627672415
-2.359253281063288,-0.39349864466464624,-0.48579530298394036
-2.435350203504064,-0.40170868412196525,-0.6100855178682634
-2.393567898916907,-0.4020208298396004,-0.7036823566785768
-2.367071803325052,-0.402218775904442,-0.763036449582678
-2.327453097234987,-0.40282006141953963,-0.7782019732603132
-2.4031720116207715,-0.3669499348635479,-0.6807086734531568
-2.451034864164118,-0.40070103910118005,-0.7895720137290807
-2.43472957456913,-0.40082285206415946,-0.8260976093623738
-2.5571381262755994,-0.39957762122827867,-0.631606013332632
-2.505814341951765,-0.399681187515454,-0.8140293598237499
-2.5821964515547613,-0.38398371149423793,-0.6729600351749906
-2.298624645716339,-0.3639523197877559,-0.6203589917777554
-2.3473732647710115,-0.3631810590083706,-0.6092696924492318
-2.293110176080046,-0.33899412785712246,-0.6316695361598653
-2.2445295606053692,-0.3593565735313127,-0.7413292864623798
-2.3930646420266237,-0.36243263815954396,-0.6050289423019506
-2.315614516450431,-0.3630112497336966,-0.7785255215600926
-2.3490769265098024,-0.36235418860710467,-0.8016789681377812
-2.419309674560616,-0.3568296185079427,-0.644141596118546
-2.4554521664449744,-0.333653084817384,-0.6603531596870273
-2.4232606538928576,-0.35889296922490743,-0.7335080552069078
-2.443223576173586,-0.34333712604179767,-0.7862763256846703
-2.4963418642735067,-0.36003279295876256,-0.7661282204251294
-2.4800365746785187,-0.360154605921742,-0.8026538160584225
-2.588952761547282,-0.35903561531398154,-0.6322545109392919
-2.4963418642735067,-0.36003279295876256,-0.7661282204251294
-2.4634798451008155,-0.345278663795783,-0.839117189139739
-2.5165143198731643,-0.356975079016435,-0.8189483430295392
-2.4302140846494513,-0.5625572886663611,-0.4320370477632818
-2.442973498361822,-0.5625128500253392,-0.3911904902283522
-2.3966680497249344,-0.5630114388477296,-0.45812734497127094
-2.4217753103776056,-0.5625440068709386,-0.4693369619313277
-2.431191258585352,-0.5600500495080185,-0.4297438276108716
-2.4905775995190895,-0.5614448361383051,-0.45624965630542597
-2.4285244974291897,-0.5225708884060443,-0.4341539706850919
-2.4050856436363945,-0.5227459945403272,-0.48665951440795063
-2.376480517261566,-0.4483686003611085,-0.44949785670789455
-2.4602973202682996,-0.4819274270191354,-0.45942434018459055
-2.4504198333716296,-0.44253647779906613,-0.3511099459174133
-2.3927019935289824,-0.4432475357018162,-0.41295152022394266
